name,date,fight_id,win/loss,method,body,body_attempts,clinch,clinch_attempts,distance,distance_attempts,ground,ground_attempts,head,head_attempts,knockdowns,leg,leg_attempts,location,pass,referee,reversals,round,sig_attempts,sig_strikes,strike_attempts,strikes,sub_attempts,takedowns,td_attempts,title
Anthony Smith,"September 16, 2017",12,W,KO/TKO,6,10,6,9,27,101,2,5,27,102,1,2,3,"Pittsburgh, Pennsylvania, USA",0,Dan Miragliotta,0,3,115,35,118,38,0,0,1,UFC Fight Night: Rockhold vs. Branch
Gregor Gillespie,"September 16, 2017",13,W,Submission,1,3,1,6,12,34,7,16,19,53,1,0,0,"Pittsburgh, Pennsylvania, USA",6,Rob Hinds,0,2,56,20,73,34,1,4,6,UFC Fight Night: Rockhold vs. Branch
Jason Gonzalez,"September 16, 2017",13,L,Submission,5,7,5,5,16,36,1,2,17,36,0,0,0,"Pittsburgh, Pennsylvania, USA",0,Rob Hinds,0,2,43,22,50,27,0,0,0,UFC Fight Night: Rockhold vs. Branch
Kamaru Usman,"September 16, 2017",14,W,KO/TKO,4,6,0,0,15,46,1,2,8,35,1,4,7,"Pittsburgh, Pennsylvania, USA",0,Dan Miragliotta,0,1,48,16,48,16,0,0,0,UFC Fight Night: Rockhold vs. Branch
Sergio Moraes,"September 16, 2017",14,L,KO/TKO,3,3,0,0,13,27,0,0,10,23,0,0,1,"Pittsburgh, Pennsylvania, USA",0,Dan Miragliotta,0,1,27,13,27,13,0,0,0,UFC Fight Night: Rockhold vs. Branch
Justin Ledet,"September 16, 2017",15,W,Decision,1,2,0,0,36,126,0,0,35,124,0,0,0,"Pittsburgh, Pennsylvania, USA",0,Keith Peterson,0,3,126,36,126,36,0,0,0,UFC Fight Night: Rockhold vs. Branch
Zu Anyanwu,"September 16, 2017",15,L,Decision,9,24,1,2,36,82,0,0,28,60,0,0,0,"Pittsburgh, Pennsylvania, USA",0,Keith Peterson,0,3,84,37,84,37,0,0,0,UFC Fight Night: Rockhold vs. Branch
Tony Martin,"September 16, 2017",16,L,Decision,1,2,2,2,9,35,4,4,13,37,0,1,2,"Pittsburgh, Pennsylvania, USA",2,Rob Hinds,1,3,41,15,96,56,1,0,0,UFC Fight Night: Rockhold vs. Branch
Olivier Aubin-Mercier,"September 16, 2017",16,W,Decision,3,5,3,3,10,33,7,10,10,33,0,7,8,"Pittsburgh, Pennsylvania, USA",6,Rob Hinds,0,3,46,20,78,47,0,4,7,UFC Fight Night: Rockhold vs. Branch
Anthony Hamilton,"September 16, 2017",17,L,KO/TKO,0,0,0,0,0,1,0,0,0,1,0,0,0,"Pittsburgh, Pennsylvania, USA",0,Dan Miragliotta,0,1,1,0,1,0,0,0,0,UFC Fight Night: Rockhold vs. Branch
Daniel Spitz,"September 16, 2017",17,W,KO/TKO,0,1,0,0,1,2,4,4,5,5,0,0,0,"Pittsburgh, Pennsylvania, USA",0,Dan Miragliotta,0,1,6,5,6,5,0,1,1,UFC Fight Night: Rockhold vs. Branch
Krzysztof Jotko,"September 16, 2017",18,L,KO/TKO,3,4,15,27,15,42,14,21,40,85,1,1,1,"Pittsburgh, Pennsylvania, USA",3,Rob Hinds,0,2,90,44,108,60,1,1,2,UFC Fight Night: Rockhold vs. Branch
Uriah Hall,"September 16, 2017",18,W,KO/TKO,6,7,0,0,19,33,7,11,15,32,1,5,5,"Pittsburgh, Pennsylvania, USA",0,Rob Hinds,0,2,44,26,44,26,0,0,0,UFC Fight Night: Rockhold vs. Branch
Jason Saggo,"September 16, 2017",19,L,KO/TKO,9,14,2,3,30,84,3,5,11,60,0,15,18,"Pittsburgh, Pennsylvania, USA",0,Keith Peterson,0,2,92,35,99,39,0,1,2,UFC Fight Night: Rockhold vs. Branch
Gilbert Burns,"September 16, 2017",19,W,KO/TKO,8,10,6,10,31,78,5,7,27,77,1,7,8,"Pittsburgh, Pennsylvania, USA",0,Keith Peterson,0,2,95,42,104,50,0,2,3,UFC Fight Night: Rockhold vs. Branch
Amanda Nunes,"September 09, 2017",20,W,Decision,14,22,1,2,85,173,0,1,16,65,0,56,89,"Edmonton, Alberta, Canada",2,John McCarthy,0,5,176,86,180,90,0,2,8,UFC 215: Nunes vs Shevchenko 2
Valentina Shevchenko,"September 09, 2017",20,L,Decision,9,13,3,6,65,183,4,5,30,138,0,33,43,"Edmonton, Alberta, Canada",0,John McCarthy,0,5,194,72,209,85,0,0,1,UFC 215: Nunes vs Shevchenko 2
Neil Magny,"September 09, 2017",21,L,Submission,1,1,0,0,1,5,0,0,0,3,0,0,1,"Edmonton, Alberta, Canada",0,Yves Lavigne,0,1,5,1,9,5,0,0,0,UFC 215: Nunes vs Shevchenko 2
Rafael Dos Anjos,"September 09, 2017",21,W,Submission,1,1,0,0,1,1,12,15,11,14,0,1,1,"Edmonton, Alberta, Canada",3,Yves Lavigne,0,1,16,13,21,17,1,0,0,UFC 215: Nunes vs Shevchenko 2
