name,date,fight_id,win/loss,method,body,body_attempts,clinch,clinch_attempts,distance,distance_attempts,ground,ground_attempts,head,head_attempts,knockdowns,leg,leg_attempts,location,pass,referee,reversals,round,sig_attempts,sig_strikes,strike_attempts,strikes,sub_attempts,takedowns,td_attempts,title
Jake Ellenberger,"January 30, 2016",775,L,Decision,6,9,10,13,20,86,0,0,24,90,0,0,0,"Newark, New Jersey, USA",0,Gasper Oliver,0,3,99,30,109,39,0,0,4,UFC Fight Night: Johnson vs. Bader
Olivier Aubin-Mercier,"January 30, 2016",776,L,Decision,8,13,3,5,45,86,1,2,39,78,0,2,2,"Newark, New Jersey, USA",0,Vitor Ribeiro,0,3,93,49,99,55,0,1,5,UFC Fight Night: Johnson vs. Bader
Diego Ferreira,"January 30, 2016",776,W,Decision,12,23,5,10,55,137,5,5,46,121,0,7,8,"Newark, New Jersey, USA",4,Vitor Ribeiro,1,3,152,65,226,130,0,0,5,UFC Fight Night: Johnson vs. Bader
Rafael Natal,"January 30, 2016",777,W,KO/TKO,5,7,7,9,16,35,31,43,43,74,1,6,6,"Newark, New Jersey, USA",4,Gary Copeland,0,3,87,54,168,123,0,4,7,UFC Fight Night: Johnson vs. Bader
Kevin Casey,"January 30, 2016",777,L,KO/TKO,5,6,4,4,12,45,0,0,10,41,0,1,2,"Newark, New Jersey, USA",0,Gary Copeland,0,3,49,16,64,30,0,0,2,UFC Fight Night: Johnson vs. Bader
Dustin Ortiz,"January 30, 2016",778,L,Decision,13,17,11,17,32,110,2,3,31,111,0,1,2,"Newark, New Jersey, USA",0,Vitor Ribeiro,0,3,130,45,152,64,0,1,6,UFC Fight Night: Johnson vs. Bader
Wilson Reis,"January 30, 2016",778,W,Decision,7,7,10,16,28,96,10,13,36,111,0,5,7,"Newark, New Jersey, USA",7,Vitor Ribeiro,0,3,125,48,186,96,0,9,23,UFC Fight Night: Johnson vs. Bader
George Sullivan,"January 30, 2016",779,L,KO/TKO,5,5,3,3,11,19,0,0,1,6,0,8,11,"Newark, New Jersey, USA",0,Gasper Oliver,0,1,22,14,27,19,0,0,0,UFC Fight Night: Johnson vs. Bader
Alexander Yakovlev,"January 30, 2016",779,W,KO/TKO,5,6,3,4,8,10,4,4,5,7,1,5,5,"Newark, New Jersey, USA",3,Gasper Oliver,0,1,18,15,20,17,0,2,2,UFC Fight Night: Johnson vs. Bader
Alex Caceres,"January 30, 2016",780,W,Decision,20,34,14,19,58,123,2,2,39,92,0,15,18,"Newark, New Jersey, USA",0,Gary Copeland,0,3,144,74,153,80,0,1,3,UFC Fight Night: Johnson vs. Bader
Masio Fullen,"January 30, 2016",780,L,Decision,9,15,2,4,34,104,0,0,17,82,0,10,11,"Newark, New Jersey, USA",0,Gary Copeland,0,3,108,36,110,38,0,0,1,UFC Fight Night: Johnson vs. Bader
Matt Dwyer,"January 30, 2016",781,L,Decision,7,11,12,18,34,79,0,0,16,62,0,23,24,"Newark, New Jersey, USA",0,Liam Kerrigan,0,3,97,46,101,50,0,1,8,UFC Fight Night: Johnson vs. Bader
Randy Brown,"January 30, 2016",781,W,Decision,10,12,23,29,23,77,2,2,31,84,0,7,12,"Newark, New Jersey, USA",1,Liam Kerrigan,0,3,108,48,122,61,1,1,4,UFC Fight Night: Johnson vs. Bader
Damon Jackson,"January 30, 2016",782,D,Decision,19,23,19,31,24,99,1,1,22,104,0,3,4,"Newark, New Jersey, USA",0,Gasper Oliver,0,3,131,44,175,85,0,0,6,UFC Fight Night: Johnson vs. Bader
Levan Makashvili,"January 30, 2016",782,D,Decision,29,30,38,46,26,67,1,1,32,77,0,4,7,"Newark, New Jersey, USA",1,Gasper Oliver,0,3,114,65,153,102,0,2,5,UFC Fight Night: Johnson vs. Bader
Tony Martin,"January 30, 2016",783,W,Submission,4,7,7,10,53,131,0,0,55,132,0,1,2,"Newark, New Jersey, USA",2,Liam Kerrigan,0,3,141,60,147,64,1,2,7,UFC Fight Night: Johnson vs. Bader
Felipe Olivieri,"January 30, 2016",783,L,Submission,28,37,10,14,77,136,0,0,31,81,0,28,32,"Newark, New Jersey, USA",0,Liam Kerrigan,0,3,150,87,159,94,0,0,1,UFC Fight Night: Johnson vs. Bader
TJ Dillashaw,"January 17, 2016",784,L,Decision,22,39,6,13,102,394,1,1,64,343,0,23,26,"Boston, Massachusetts, USA",0,Herb Dean,0,5,408,109,430,130,0,1,8,UFC Fight Night: Dillashaw vs Cruz
Dominick Cruz,"January 17, 2016",784,W,Decision,9,14,5,6,107,294,0,2,97,282,0,6,6,"Boston, Massachusetts, USA",0,Herb Dean,0,5,302,112,312,122,0,4,11,UFC Fight Night: Dillashaw vs Cruz
Anthony Pettis,"January 17, 2016",785,L,Decision,13,20,6,12,50,97,0,0,33,79,0,10,10,"Boston, Massachusetts, USA",0,,0,3,109,56,164,109,0,0,0,UFC Fight Night: Dillashaw vs Cruz
Eddie Alvarez,"January 17, 2016",785,W,Decision,12,18,3,4,36,82,3,4,20,61,0,10,11,"Boston, Massachusetts, USA",2,,0,3,90,42,129,74,0,6,15,UFC Fight Night: Dillashaw vs Cruz
Travis Browne,"January 17, 2016",786,W,KO/TKO,18,33,3,3,23,72,25,39,31,77,0,2,4,"Boston, Massachusetts, USA",2,Gary Forman,0,3,114,51,124,61,0,2,3,UFC Fight Night: Dillashaw vs Cruz
Matt Mitrione,"January 17, 2016",786,L,KO/TKO,3,3,2,5,25,56,0,0,14,48,1,10,10,"Boston, Massachusetts, USA",0,Gary Forman,0,3,61,27,62,28,0,0,1,UFC Fight Night: Dillashaw vs Cruz
Ross Pearson,"January 17, 2016",787,L,Decision,13,21,2,5,23,76,3,4,9,57,0,6,7,"Boston, Massachusetts, USA",0,Herb Dean,0,3,85,28,89,32,0,2,2,UFC Fight Night: Dillashaw vs Cruz
Francisco Trinaldo,"January 17, 2016",787,W,Decision,13,17,16,24,35,88,0,0,34,90,0,4,5,"Boston, Massachusetts, USA",0,Herb Dean,0,3,112,51,114,53,0,1,3,UFC Fight Night: Dillashaw vs Cruz
Patrick Cote,"January 17, 2016",788,W,KO/TKO,4,9,9,11,13,26,20,26,31,44,1,7,10,"Boston, Massachusetts, USA",2,Steve Rita,1,2,63,42,76,55,1,0,0,UFC Fight Night: Dillashaw vs Cruz
Ben Saunders,"January 17, 2016",788,L,KO/TKO,7,9,3,3,7,23,1,1,4,18,0,0,0,"Boston, Massachusetts, USA",0,Steve Rita,0,2,27,11,60,44,0,1,1,UFC Fight Night: Dillashaw vs Cruz
Tim Boetsch,"January 17, 2016",789,L,KO/TKO,5,7,4,9,23,55,0,0,16,50,0,6,7,"Boston, Massachusetts, USA",0,Kevin MacDonald,0,2,64,27,69,32,0,0,0,UFC Fight Night: Dillashaw vs Cruz
Ed Herman,"January 17, 2016",789,W,KO/TKO,7,10,16,21,28,58,3,3,31,63,1,9,9,"Boston, Massachusetts, USA",0,Kevin MacDonald,0,2,82,47,91,56,0,0,0,UFC Fight Night: Dillashaw vs Cruz
Chris Wade,"January 17, 2016",790,W,Submission,0,0,0,0,1,3,4,10,4,12,0,1,1,"Boston, Massachusetts, USA",2,Gary Forman,0,1,13,5,58,40,1,2,2,UFC Fight Night: Dillashaw vs Cruz
Mehdi Baghdad,"January 17, 2016",790,L,Submission,0,0,0,0,0,4,1,1,1,5,0,0,0,"Boston, Massachusetts, USA",0,Gary Forman,0,1,5,1,6,2,0,0,0,UFC Fight Night: Dillashaw vs Cruz
Maximo Blanco,"January 17, 2016",791,L,Submission,7,7,0,1,16,37,0,1,2,25,0,7,7,"Boston, Massachusetts, USA",1,Herb Dean,0,1,39,16,40,17,1,1,1,UFC Fight Night: Dillashaw vs Cruz
Luke Sanders,"January 17, 2016",791,W,Submission,1,1,0,3,24,43,2,2,21,42,1,4,5,"Boston, Massachusetts, USA",1,Herb Dean,0,1,48,26,49,27,1,0,0,UFC Fight Night: Dillashaw vs Cruz
Paul Felder,"January 17, 2016",792,W,Submission,8,12,14,25,11,37,21,25,32,68,0,6,7,"Boston, Massachusetts, USA",1,Steve Rita,0,3,87,46,110,69,3,2,4,UFC Fight Night: Dillashaw vs Cruz
Daron Cruickshank,"January 17, 2016",792,L,Submission,11,15,9,15,22,41,1,2,18,39,0,3,4,"Boston, Massachusetts, USA",0,Steve Rita,0,3,58,32,82,54,0,3,8,UFC Fight Night: Dillashaw vs Cruz
Ilir Latifi,"January 17, 2016",793,W,KO/TKO,0,0,0,0,2,3,0,0,2,3,1,0,0,"Boston, Massachusetts, USA",0,Kevin MacDonald,0,1,3,2,3,2,0,0,0,UFC Fight Night: Dillashaw vs Cruz
Sean O'Connell,"January 17, 2016",793,L,KO/TKO,0,0,0,0,1,3,0,0,1,3,0,0,0,"Boston, Massachusetts, USA",0,Kevin MacDonald,0,1,3,1,3,1,0,0,0,UFC Fight Night: Dillashaw vs Cruz
Charles Rosa,"January 17, 2016",794,W,Decision,13,26,5,7,87,225,0,0,54,171,0,25,35,"Boston, Massachusetts, USA",0,Gary Forman,0,3,232,92,237,95,0,1,8,UFC Fight Night: Dillashaw vs Cruz
Kyle Bochniak,"January 17, 2016",794,L,Decision,4,8,4,9,46,116,2,4,37,109,1,11,12,"Boston, Massachusetts, USA",0,Gary Forman,0,3,129,52,130,53,0,1,5,UFC Fight Night: Dillashaw vs Cruz
Rob Font,"January 17, 2016",795,W,KO/TKO,17,20,13,16,39,93,0,1,29,81,1,6,9,"Boston, Massachusetts, USA",0,Herb Dean,0,2,110,52,115,56,0,1,5,UFC Fight Night: Dillashaw vs Cruz
Joey Gomez,"January 17, 2016",795,L,KO/TKO,2,4,6,8,9,63,0,0,10,64,0,3,3,"Boston, Massachusetts, USA",0,Herb Dean,0,2,71,15,75,19,0,1,1,UFC Fight Night: Dillashaw vs Cruz
Francimar Barroso,"January 17, 2016",796,W,Decision,7,8,5,6,49,83,3,6,34,69,0,16,18,"Boston, Massachusetts, USA",0,Steve Rita,0,3,95,57,132,90,0,1,10,UFC Fight Night: Dillashaw vs Cruz
Elvis Mutapcic,"January 17, 2016",796,L,Decision,14,16,6,11,25,99,7,10,22,100,0,2,4,"Boston, Massachusetts, USA",0,Steve Rita,0,3,120,38,148,65,0,0,0,UFC Fight Night: Dillashaw vs Cruz
Robbie Lawler,"January 02, 2016",797,W,Decision,7,7,14,20,76,153,2,4,82,167,1,3,3,"Las Vegas, Nevada, USA",0,John McCarthy,0,5,177,92,178,93,0,0,0,UFC 195: Lawler vs Condit
Carlos Condit,"January 02, 2016",797,L,Decision,47,79,27,48,149,447,0,0,96,372,0,33,44,"Las Vegas, Nevada, USA",0,John McCarthy,0,5,495,176,497,177,0,0,0,UFC 195: Lawler vs Condit
Stipe Miocic,"January 02, 2016",798,W,KO/TKO,0,0,1,2,5,8,5,5,11,15,1,0,0,"Las Vegas, Nevada, USA",0,Herb Dean,0,1,15,11,15,11,0,0,0,UFC 195: Lawler vs Condit
Andrei Arlovski,"January 02, 2016",798,L,KO/TKO,0,2,1,1,6,11,0,0,4,6,0,3,4,"Las Vegas, Nevada, USA",0,Herb Dean,0,1,12,7,12,7,0,0,0,UFC 195: Lawler vs Condit
Lorenz Larkin,"January 02, 2016",799,L,Decision,10,12,1,4,68,151,0,0,12,84,0,47,59,"Las Vegas, Nevada, USA",0,Mario Yamasaki,0,3,155,69,155,69,0,0,2,UFC 195: Lawler vs Condit
Albert Tumenov,"January 02, 2016",799,W,Decision,19,22,5,10,71,184,0,0,52,167,0,5,5,"Las Vegas, Nevada, USA",0,Mario Yamasaki,0,3,194,76,194,76,0,0,2,UFC 195: Lawler vs Condit
Diego Brandao,"January 02, 2016",800,L,Submission,10,11,0,0,51,99,5,9,38,87,0,8,10,"Las Vegas, Nevada, USA",1,John McCarthy,0,3,108,56,116,61,0,2,3,UFC 195: Lawler vs Condit
Brian Ortega,"January 02, 2016",800,W,Submission,11,19,1,1,28,109,0,0,18,91,0,0,0,"Las Vegas, Nevada, USA",1,John McCarthy,0,3,110,29,114,33,2,0,1,UFC 195: Lawler vs Condit
Abel Trujillo,"January 02, 2016",801,W,Submission,2,3,1,1,3,10,0,0,2,8,0,0,0,"Las Vegas, Nevada, USA",0,Herb Dean,0,1,11,4,11,4,1,0,2,UFC 195: Lawler vs Condit
Tony Sims,"January 02, 2016",801,L,Submission,0,0,0,0,5,12,0,0,5,12,0,0,0,"Las Vegas, Nevada, USA",0,Herb Dean,0,1,12,5,12,5,0,1,1,UFC 195: Lawler vs Condit
Michael McDonald,"January 02, 2016",802,W,Submission,0,1,0,0,5,13,0,0,4,10,0,1,2,"Las Vegas, Nevada, USA",0,Mario Yamasaki,0,2,13,5,14,6,2,0,0,UFC 195: Lawler vs Condit
Masanori Kanehara,"January 02, 2016",802,L,Submission,11,11,0,0,3,5,12,12,4,6,0,0,0,"Las Vegas, Nevada, USA",4,Mario Yamasaki,0,2,17,15,81,77,1,2,2,UFC 195: Lawler vs Condit
Kyle Noke,"January 02, 2016",803,L,Decision,20,34,3,11,44,106,12,17,24,78,0,15,22,"Las Vegas, Nevada, USA",4,John McCarthy,0,3,134,59,155,79,0,1,3,UFC 195: Lawler vs Condit
Alex Morono,"January 02, 2016",803,W,Decision,6,9,4,11,35,109,4,5,34,110,0,3,6,"Las Vegas, Nevada, USA",1,John McCarthy,0,3,125,43,166,81,1,0,0,UFC 195: Lawler vs Condit
Justine Kish,"January 02, 2016",804,W,Decision,12,19,17,23,50,106,5,6,45,94,0,15,22,"Las Vegas, Nevada, USA",5,Chris Tognoni,0,3,135,72,155,91,0,3,10,UFC 195: Lawler vs Condit
Nina Ansaroff,"January 02, 2016",804,L,Decision,20,34,15,22,76,150,1,2,50,117,0,22,23,"Las Vegas, Nevada, USA",2,Chris Tognoni,1,3,174,92,194,107,0,1,2,UFC 195: Lawler vs Condit
Scott Holtzman,"January 02, 2016",805,L,Decision,5,7,10,14,17,40,11,15,33,62,0,0,0,"Las Vegas, Nevada, USA",1,Herb Dean,0,3,69,38,115,79,0,2,5,UFC 195: Lawler vs Condit
Drew Dober,"January 02, 2016",805,W,Decision,4,6,10,21,22,61,4,6,29,78,0,3,4,"Las Vegas, Nevada, USA",5,Herb Dean,0,3,88,36,119,63,0,5,14,UFC 195: Lawler vs Condit
Dustin Poirier,"January 02, 2016",806,W,Decision,7,8,12,20,33,77,27,40,58,121,0,7,8,"Las Vegas, Nevada, USA",1,Chris Tognoni,0,3,137,72,153,88,0,4,7,UFC 195: Lawler vs Condit
Joe Duffy,"January 02, 2016",806,L,Decision,7,7,8,13,27,85,2,2,29,92,0,1,1,"Las Vegas, Nevada, USA",0,Chris Tognoni,0,3,100,37,123,60,1,0,0,UFC 195: Lawler vs Condit
Joe Soto,"January 02, 2016",807,L,Decision,4,6,0,1,67,106,4,4,54,88,0,13,17,"Las Vegas, Nevada, USA",2,Mario Yamasaki,0,3,111,71,138,98,4,1,3,UFC 195: Lawler vs Condit
Michinori Tanaka,"January 02, 2016",807,W,Decision,6,7,0,2,47,174,10,14,46,178,0,5,5,"Las Vegas, Nevada, USA",0,Mario Yamasaki,0,3,190,57,202,68,0,3,6,UFC 195: Lawler vs Condit
Sheldon Westcott,"January 02, 2016",808,W,KO/TKO,0,2,0,0,0,6,33,73,33,77,0,0,0,"Las Vegas, Nevada, USA",2,Chris Tognoni,0,1,79,33,115,60,0,1,1,UFC 195: Lawler vs Condit
Edgar Garcia,"January 02, 2016",808,L,KO/TKO,0,0,0,0,1,3,0,0,1,3,0,0,0,"Las Vegas, Nevada, USA",0,Chris Tognoni,0,1,3,1,3,1,0,0,0,UFC 195: Lawler vs Condit
Rafael Dos Anjos,"December 19, 2015",809,W,KO/TKO,4,4,1,2,19,31,6,11,21,39,0,1,1,"Orlando, Florida, USA",0,Herb Dean,0,1,44,26,44,26,0,0,0,UFC on FOX: Dos Anjos vs. Cowboy 2
Donald Cerrone,"December 19, 2015",809,L,KO/TKO,1,1,0,0,4,7,0,0,2,5,0,1,1,"Orlando, Florida, USA",0,Herb Dean,0,1,7,4,7,4,0,0,1,UFC on FOX: Dos Anjos vs. Cowboy 2
Junior Dos Santos,"December 19, 2015",810,L,KO/TKO,7,12,0,0,22,46,0,0,12,29,0,3,5,"Orlando, Florida, USA",0,Dan Miragliotta,0,2,46,22,46,22,0,0,0,UFC on FOX: Dos Anjos vs. Cowboy 2
Alistair Overeem,"December 19, 2015",810,W,KO/TKO,7,10,0,0,28,39,4,4,11,17,1,14,16,"Orlando, Florida, USA",0,Dan Miragliotta,0,2,43,32,43,32,0,0,1,UFC on FOX: Dos Anjos vs. Cowboy 2
Michael Johnson,"December 19, 2015",811,L,Decision,28,69,0,1,103,300,0,0,44,185,0,31,47,"Orlando, Florida, USA",0,Jorge Alonso,0,3,301,103,303,104,0,1,1,UFC on FOX: Dos Anjos vs. Cowboy 2
Nate Diaz,"December 19, 2015",811,W,Decision,7,13,5,5,148,295,0,0,135,273,0,11,14,"Orlando, Florida, USA",0,Jorge Alonso,0,3,300,153,304,157,0,0,0,UFC on FOX: Dos Anjos vs. Cowboy 2
Randa Markos,"December 19, 2015",812,L,Decision,2,7,3,6,31,94,0,0,21,82,0,11,11,"Orlando, Florida, USA",1,Herb Dean,0,3,100,34,125,56,0,1,9,UFC on FOX: Dos Anjos vs. Cowboy 2
Karolina Kowalkiewicz,"December 19, 2015",812,W,Decision,12,14,9,10,47,147,10,12,40,137,0,14,18,"Orlando, Florida, USA",2,Herb Dean,0,3,169,66,216,104,0,0,0,UFC on FOX: Dos Anjos vs. Cowboy 2
Charles Oliveira,"December 19, 2015",813,W,Submission,3,4,0,0,5,10,0,0,0,4,0,2,2,"Orlando, Florida, USA",2,John Hosegood,0,1,10,5,16,10,1,1,1,UFC on FOX: Dos Anjos vs. Cowboy 2
Myles Jury,"December 19, 2015",813,L,Submission,1,1,0,0,5,16,0,0,3,14,0,1,1,"Orlando, Florida, USA",0,John Hosegood,0,1,16,5,16,5,0,0,0,UFC on FOX: Dos Anjos vs. Cowboy 2
CB Dollaway,"December 19, 2015",814,L,KO/TKO,4,8,3,3,12,32,0,0,9,24,0,2,3,"Orlando, Florida, USA",0,Herb Dean,0,2,35,15,35,15,0,0,1,UFC on FOX: Dos Anjos vs. Cowboy 2
Nate Marquardt,"December 19, 2015",814,W,KO/TKO,7,9,1,1,14,25,1,1,4,12,1,5,6,"Orlando, Florida, USA",0,Herb Dean,0,2,27,16,27,16,0,0,0,UFC on FOX: Dos Anjos vs. Cowboy 2
Sarah Kaufman,"December 19, 2015",815,L,Decision,2,5,6,12,12,22,9,10,14,26,0,11,13,"Orlando, Florida, USA",2,Dan Miragliotta,0,3,44,27,172,142,0,1,4,UFC on FOX: Dos Anjos vs. Cowboy 2
Valentina Shevchenko,"December 19, 2015",815,W,Decision,8,11,16,17,12,22,4,5,21,29,0,3,4,"Orlando, Florida, USA",1,Dan Miragliotta,0,3,44,32,78,66,0,4,9,UFC on FOX: Dos Anjos vs. Cowboy 2
Josh Samman,"December 19, 2015",816,L,Submission,3,3,0,0,1,7,9,12,6,15,0,1,1,"Orlando, Florida, USA",2,Jorge Alonso,1,3,19,10,70,53,0,2,4,UFC on FOX: Dos Anjos vs. Cowboy 2
Tamdan McCrory,"December 19, 2015",816,W,Submission,3,4,3,4,2,3,34,46,36,49,0,0,0,"Orlando, Florida, USA",5,Jorge Alonso,1,3,53,39,97,80,1,2,4,UFC on FOX: Dos Anjos vs. Cowboy 2
Nik Lentz,"December 19, 2015",817,W,Decision,16,25,9,17,50,115,0,0,38,101,0,5,6,"Orlando, Florida, USA",1,John Hosegood,0,3,132,59,148,72,2,3,6,UFC on FOX: Dos Anjos vs. Cowboy 2
Danny Castillo,"December 19, 2015",817,L,Decision,4,5,6,7,51,115,0,2,47,112,0,6,7,"Orlando, Florida, USA",2,John Hosegood,0,3,124,57,127,60,0,2,6,UFC on FOX: Dos Anjos vs. Cowboy 2
Cole Miller,"December 19, 2015",818,NC,Could,7,9,2,2,26,75,0,0,17,64,0,4,4,"Orlando, Florida, USA",0,Herb Dean,0,2,77,28,78,29,0,0,0,UFC on FOX: Dos Anjos vs. Cowboy 2
Jim Alers,"December 19, 2015",818,NC,Could,6,11,1,2,24,77,0,0,9,55,0,10,13,"Orlando, Florida, USA",0,Herb Dean,0,2,79,25,79,25,0,0,0,UFC on FOX: Dos Anjos vs. Cowboy 2
Kamaru Usman,"December 19, 2015",819,W,Decision,12,15,12,15,11,30,25,35,28,55,0,8,10,"Orlando, Florida, USA",3,Dan Miragliotta,0,3,80,48,163,126,0,6,13,UFC on FOX: Dos Anjos vs. Cowboy 2
Leon Edwards,"December 19, 2015",819,L,Decision,6,7,7,8,17,47,2,2,17,47,0,3,3,"Orlando, Florida, USA",0,Dan Miragliotta,0,3,57,26,67,36,0,0,0,UFC on FOX: Dos Anjos vs. Cowboy 2
Hayder Hassan,"December 19, 2015",820,L,Submission,4,4,0,0,15,28,0,0,9,21,0,2,3,"Orlando, Florida, USA",0,Jorge Alonso,0,1,28,15,28,15,0,0,1,UFC on FOX: Dos Anjos vs. Cowboy 2
Vicente Luque,"December 19, 2015",820,W,Submission,3,3,0,0,12,26,0,0,6,20,0,3,3,"Orlando, Florida, USA",0,Jorge Alonso,0,1,26,12,26,12,1,0,0,UFC on FOX: Dos Anjos vs. Cowboy 2
Francis Ngannou,"December 19, 2015",821,W,KO/TKO,3,3,4,4,16,32,5,9,19,38,1,3,4,"Orlando, Florida, USA",0,John Hosegood,0,2,45,25,62,40,0,0,0,UFC on FOX: Dos Anjos vs. Cowboy 2
Luis Henrique,"December 19, 2015",821,L,KO/TKO,0,0,0,0,5,9,0,1,5,10,0,0,0,"Orlando, Florida, USA",1,John Hosegood,0,2,10,5,40,33,0,1,6,UFC on FOX: Dos Anjos vs. Cowboy 2
Jose Aldo,"December 12, 2015",822,L,KO/TKO,0,0,0,0,1,3,0,0,1,3,0,0,0,"Las Vegas, Nevada, USA",0,John McCarthy,0,1,3,1,3,1,0,0,0,UFC 194: Aldo vs McGregor
Conor McGregor,"December 12, 2015",822,W,KO/TKO,0,1,0,0,3,4,2,2,4,4,1,1,1,"Las Vegas, Nevada, USA",0,John McCarthy,0,1,6,5,6,5,0,0,0,UFC 194: Aldo vs McGregor
Chris Weidman,"December 12, 2015",823,L,KO/TKO,18,19,7,7,40,67,1,1,25,51,0,5,5,"Las Vegas, Nevada, USA",4,Herb Dean,0,4,75,48,92,62,0,3,6,UFC 194: Aldo vs McGregor
Luke Rockhold,"December 12, 2015",823,W,KO/TKO,18,22,9,13,44,83,73,95,96,157,0,12,12,"Las Vegas, Nevada, USA",5,Herb Dean,0,4,191,126,229,161,1,2,4,UFC 194: Aldo vs McGregor
Jacare Souza,"December 12, 2015",824,L,Decision,11,14,0,0,22,44,8,8,16,35,0,3,3,"Las Vegas, Nevada, USA",2,Marc Goddard,0,3,52,30,67,42,0,1,7,UFC 194: Aldo vs McGregor
Yoel Romero,"December 12, 2015",824,W,Decision,5,6,0,1,24,50,22,41,37,80,1,4,6,"Las Vegas, Nevada, USA",0,Marc Goddard,0,3,92,46,104,56,0,0,1,UFC 194: Aldo vs McGregor
Demian Maia,"December 12, 2015",825,W,Decision,2,2,4,4,3,4,40,50,45,56,0,0,0,"Las Vegas, Nevada, USA",5,John McCarthy,1,3,58,47,229,193,1,2,8,UFC 194: Aldo vs McGregor
Gunnar Nelson,"December 12, 2015",825,L,Decision,0,0,0,0,1,2,1,2,2,4,0,0,0,"Las Vegas, Nevada, USA",2,John McCarthy,2,3,4,2,10,7,0,1,1,UFC 194: Aldo vs McGregor
Max Holloway,"December 12, 2015",826,W,Decision,12,17,6,8,42,81,9,10,40,77,0,5,5,"Las Vegas, Nevada, USA",4,,0,3,99,57,122,79,0,1,1,UFC 194: Aldo vs McGregor
Jeremy Stephens,"December 12, 2015",826,L,Decision,11,14,2,10,45,85,0,0,12,55,0,24,26,"Las Vegas, Nevada, USA",0,,0,3,95,47,110,60,0,0,12,UFC 194: Aldo vs McGregor
Urijah Faber,"December 12, 2015",827,W,Decision,20,22,40,48,34,62,1,1,53,87,0,2,2,"Las Vegas, Nevada, USA",1,Marc Goddard,0,3,111,75,116,80,0,2,13,UFC 194: Aldo vs McGregor
Frankie Saenz,"December 12, 2015",827,L,Decision,15,21,19,33,46,100,1,3,29,89,0,22,26,"Las Vegas, Nevada, USA",0,Marc Goddard,1,3,136,66,143,72,0,0,3,UFC 194: Aldo vs McGregor
Tecia Torres,"December 12, 2015",828,W,Decision,7,14,13,20,55,102,9,11,67,116,0,3,3,"Las Vegas, Nevada, USA",1,Herb Dean,0,3,133,77,192,126,0,0,4,UFC 194: Aldo vs McGregor
Jocelyn Jones-Lybarger,"December 12, 2015",828,L,Decision,10,15,3,6,23,97,3,3,15,87,0,4,4,"Las Vegas, Nevada, USA",0,Herb Dean,0,3,106,29,137,53,0,0,2,UFC 194: Aldo vs McGregor
Warlley Alves,"December 12, 2015",829,W,Submission,1,1,0,1,2,3,0,0,0,2,0,1,1,"Las Vegas, Nevada, USA",0,Mark Smith,0,1,4,2,4,2,1,0,0,UFC 194: Aldo vs McGregor
Colby Covington,"December 12, 2015",829,L,Submission,0,0,1,1,0,0,1,1,2,2,0,0,0,"Las Vegas, Nevada, USA",1,Mark Smith,0,1,2,2,2,2,0,1,2,UFC 194: Aldo vs McGregor
Leonardo Santos,"December 12, 2015",830,W,KO/TKO,6,6,0,0,18,30,14,18,22,38,1,4,4,"Las Vegas, Nevada, USA",1,John McCarthy,0,1,48,32,48,32,0,1,1,UFC 194: Aldo vs McGregor
Kevin Lee,"December 12, 2015",830,L,KO/TKO,5,6,0,0,10,46,0,0,5,40,0,0,0,"Las Vegas, Nevada, USA",0,John McCarthy,0,1,46,10,46,10,0,0,0,UFC 194: Aldo vs McGregor
Joe Proctor,"December 12, 2015",831,L,KO/TKO,2,2,1,1,8,12,0,0,3,7,0,4,4,"Las Vegas, Nevada, USA",0,Mark Smith,0,1,13,9,13,9,0,0,0,UFC 194: Aldo vs McGregor
Magomed Mustafaev,"December 12, 2015",831,W,KO/TKO,4,4,4,4,9,18,5,5,13,22,1,1,1,"Las Vegas, Nevada, USA",0,Mark Smith,0,1,27,18,31,22,0,0,0,UFC 194: Aldo vs McGregor
John Makdessi,"December 12, 2015",832,L,Decision,48,65,1,2,113,194,0,0,38,99,0,28,32,"Las Vegas, Nevada, USA",0,Marc Goddard,0,3,196,114,196,114,0,0,0,UFC 194: Aldo vs McGregor
Yancy Medeiros,"December 12, 2015",832,W,Decision,14,22,2,2,78,266,0,0,50,227,1,16,19,"Las Vegas, Nevada, USA",0,Marc Goddard,0,3,268,80,268,80,0,0,1,UFC 194: Aldo vs McGregor
Court McGee,"December 12, 2015",833,W,Decision,11,13,2,4,37,73,19,22,28,67,0,19,19,"Las Vegas, Nevada, USA",0,Mark Smith,0,3,99,58,185,133,0,2,13,UFC 194: Aldo vs McGregor
Marcio Alexandre Junior,"December 12, 2015",833,L,Decision,9,10,0,0,23,48,0,0,12,36,0,2,2,"Las Vegas, Nevada, USA",0,Mark Smith,0,3,48,23,53,28,1,0,0,UFC 194: Aldo vs McGregor
Frankie Edgar,"December 11, 2015",834,W,KO/TKO,2,4,0,0,11,30,2,2,9,25,1,2,3,"Las Vegas, Nevada, USA",0,John McCarthy,0,1,32,13,32,13,0,0,1,The Ultimate Fighter 22 Finale
Chad Mendes,"December 11, 2015",834,L,KO/TKO,0,0,0,0,5,17,0,0,1,13,0,4,4,"Las Vegas, Nevada, USA",0,John McCarthy,0,1,17,5,17,5,0,0,0,The Ultimate Fighter 22 Finale
