body,body_attempts,clinch,clinch_attempts,date,distance,distance_attempts,fight_id,ground,ground_attempts,head,head_attempts,kd,leg,leg_attempts,location,method,name,pass,referee,reversals,round,sig_attempts,sig_strikes,strike_attempts,strikes,sub_attempts,takedowns,td_attempts,title,win/loss
6,10,6,9,"September 16, 2017",27,101,12,2,5,27,102,1,2,3,"Pittsburgh, Pennsylvania, USA",KO/TKO,ERROR,0,Dan Miragliotta,0,3,115,35,118,38,0,0,1,UFC Fight Night: Rockhold vs. Branch,ERROR
1,3,1,6,"September 16, 2017",12,34,13,7,16,19,53,1,0,0,"Pittsburgh, Pennsylvania, USA",Submission,ERROR,6,Rob Hinds,0,2,56,20,73,34,1,4,6,UFC Fight Night: Rockhold vs. Branch,ERROR
5,7,5,5,"September 16, 2017",16,36,13,1,2,17,36,0,0,0,"Pittsburgh, Pennsylvania, USA",Submission,ERROR,0,Rob Hinds,0,2,43,22,50,27,0,0,0,UFC Fight Night: Rockhold vs. Branch,ERROR
4,6,0,0,"September 16, 2017",15,46,14,1,2,8,35,1,4,7,"Pittsburgh, Pennsylvania, USA",KO/TKO,ERROR,0,Dan Miragliotta,0,1,48,16,48,16,0,0,0,UFC Fight Night: Rockhold vs. Branch,ERROR
3,3,0,0,"September 16, 2017",13,27,14,0,0,10,23,0,0,1,"Pittsburgh, Pennsylvania, USA",KO/TKO,ERROR,0,Dan Miragliotta,0,1,27,13,27,13,0,0,0,UFC Fight Night: Rockhold vs. Branch,ERROR
1,2,0,0,"September 16, 2017",36,126,15,0,0,35,124,0,0,0,"Pittsburgh, Pennsylvania, USA",Decision,ERROR,0,Keith Peterson,0,3,126,36,126,36,0,0,0,UFC Fight Night: Rockhold vs. Branch,ERROR
9,24,1,2,"September 16, 2017",36,82,15,0,0,28,60,0,0,0,"Pittsburgh, Pennsylvania, USA",Decision,ERROR,0,Keith Peterson,0,3,84,37,84,37,0,0,0,UFC Fight Night: Rockhold vs. Branch,ERROR
1,2,2,2,"September 16, 2017",9,35,16,4,4,13,37,0,1,2,"Pittsburgh, Pennsylvania, USA",Decision,ERROR,2,Rob Hinds,1,3,41,15,96,56,1,0,0,UFC Fight Night: Rockhold vs. Branch,ERROR
3,5,3,3,"September 16, 2017",10,33,16,7,10,10,33,0,7,8,"Pittsburgh, Pennsylvania, USA",Decision,ERROR,6,Rob Hinds,0,3,46,20,78,47,0,4,7,UFC Fight Night: Rockhold vs. Branch,ERROR
0,0,0,0,"September 16, 2017",0,1,17,0,0,0,1,0,0,0,"Pittsburgh, Pennsylvania, USA",KO/TKO,ERROR,0,Dan Miragliotta,0,1,1,0,1,0,0,0,0,UFC Fight Night: Rockhold vs. Branch,ERROR
0,1,0,0,"September 16, 2017",1,2,17,4,4,5,5,0,0,0,"Pittsburgh, Pennsylvania, USA",KO/TKO,ERROR,0,Dan Miragliotta,0,1,6,5,6,5,0,1,1,UFC Fight Night: Rockhold vs. Branch,ERROR
3,4,15,27,"September 16, 2017",15,42,18,14,21,40,85,1,1,1,"Pittsburgh, Pennsylvania, USA",KO/TKO,ERROR,3,Rob Hinds,0,2,90,44,108,60,1,1,2,UFC Fight Night: Rockhold vs. Branch,ERROR
6,7,0,0,"September 16, 2017",19,33,18,7,11,15,32,1,5,5,"Pittsburgh, Pennsylvania, USA",KO/TKO,ERROR,0,Rob Hinds,0,2,44,26,44,26,0,0,0,UFC Fight Night: Rockhold vs. Branch,ERROR
9,14,2,3,"September 16, 2017",30,84,19,3,5,11,60,0,15,18,"Pittsburgh, Pennsylvania, USA",KO/TKO,ERROR,0,Keith Peterson,0,2,92,35,99,39,0,1,2,UFC Fight Night: Rockhold vs. Branch,ERROR
8,10,6,10,"September 16, 2017",31,78,19,5,7,27,77,1,7,8,"Pittsburgh, Pennsylvania, USA",KO/TKO,ERROR,0,Keith Peterson,0,2,95,42,104,50,0,2,3,UFC Fight Night: Rockhold vs. Branch,ERROR
14,22,1,2,"September 09, 2017",85,173,20,0,1,16,65,0,56,89,"Edmonton, Alberta, Canada",Decision,ERROR,2,John McCarthy,0,5,176,86,180,90,0,2,8,UFC 215: Nunes vs Shevchenko 2,ERROR
9,13,3,6,"September 09, 2017",65,183,20,4,5,30,138,0,33,43,"Edmonton, Alberta, Canada",Decision,ERROR,0,John McCarthy,0,5,194,72,209,85,0,0,1,UFC 215: Nunes vs Shevchenko 2,ERROR
1,1,0,0,"September 09, 2017",1,5,21,0,0,0,3,0,0,1,"Edmonton, Alberta, Canada",Submission,ERROR,0,Yves Lavigne,0,1,5,1,9,5,0,0,0,UFC 215: Nunes vs Shevchenko 2,ERROR
