title,link,date,location
UFC Fight Night: Volkov vs. Struve,http://www.fightmetric.com/fight-details/af5f287198f20eb4,"September 02, 2017","Rotterdam, Zuid-Holland, Netherlands"
UFC Fight Night: Volkov vs. Struve,http://www.fightmetric.com/fight-details/b7ab4cd6ce7a71dd,"September 02, 2017","Rotterdam, Zuid-Holland, Netherlands"
UFC Fight Night: Pettis vs. Moreno,http://www.fightmetric.com/fight-details/253e42894852b26a,"August 05, 2017","Mexico City, Distrito Federal, Mexico"
UFC Fight Night: Pettis vs. Moreno,http://www.fightmetric.com/fight-details/d5598322f81db6c9,"August 05, 2017","Mexico City, Distrito Federal, Mexico"
UFC Fight Night: Pettis vs. Moreno,http://www.fightmetric.com/fight-details/cd54325a9a538837,"August 05, 2017","Mexico City, Distrito Federal, Mexico"
UFC Fight Night: Pettis vs. Moreno,http://www.fightmetric.com/fight-details/2f9b9ef5f6833aa1,"August 05, 2017","Mexico City, Distrito Federal, Mexico"
UFC Fight Night: Pettis vs. Moreno,http://www.fightmetric.com/fight-details/c8f619a71b714ec7,"August 05, 2017","Mexico City, Distrito Federal, Mexico"
UFC Fight Night: Pettis vs. Moreno,http://www.fightmetric.com/fight-details/48f7e64b548806cd,"August 05, 2017","Mexico City, Distrito Federal, Mexico"
UFC Fight Night: Pettis vs. Moreno,http://www.fightmetric.com/fight-details/a3e4322f55454897,"August 05, 2017","Mexico City, Distrito Federal, Mexico"
UFC Fight Night: Pettis vs. Moreno,http://www.fightmetric.com/fight-details/02732ebb104793d2,"August 05, 2017","Mexico City, Distrito Federal, Mexico"
UFC Fight Night: Pettis vs. Moreno,http://www.fightmetric.com/fight-details/19348172178f42ed,"August 05, 2017","Mexico City, Distrito Federal, Mexico"
UFC Fight Night: Pettis vs. Moreno,http://www.fightmetric.com/fight-details/0b89c88d506da083,"August 05, 2017","Mexico City, Distrito Federal, Mexico"
UFC Fight Night: Pettis vs. Moreno,http://www.fightmetric.com/fight-details/a3723f0f672b0912,"August 05, 2017","Mexico City, Distrito Federal, Mexico"
UFC Fight Night: Pettis vs. Moreno,http://www.fightmetric.com/fight-details/e02fca0d258283ce,"August 05, 2017","Mexico City, Distrito Federal, Mexico"
UFC 214: Cormier vs. Jones 2,http://www.fightmetric.com/fight-details/5ab286735ccee803,"July 29, 2017","Anaheim, California, USA"
UFC 214: Cormier vs. Jones 2,http://www.fightmetric.com/fight-details/30553d630491094a,"July 29, 2017","Anaheim, California, USA"
UFC 214: Cormier vs. Jones 2,http://www.fightmetric.com/fight-details/79817ab0129c5598,"July 29, 2017","Anaheim, California, USA"
UFC 214: Cormier vs. Jones 2,http://www.fightmetric.com/fight-details/b8c967c742d3c107,"July 29, 2017","Anaheim, California, USA"
UFC 214: Cormier vs. Jones 2,http://www.fightmetric.com/fight-details/49694c2d00c581ed,"July 29, 2017","Anaheim, California, USA"
UFC 214: Cormier vs. Jones 2,http://www.fightmetric.com/fight-details/dffad417175400ba,"July 29, 2017","Anaheim, California, USA"
UFC 214: Cormier vs. Jones 2,http://www.fightmetric.com/fight-details/ac9e19a4075f6557,"July 29, 2017","Anaheim, California, USA"
UFC 214: Cormier vs. Jones 2,http://www.fightmetric.com/fight-details/4924d7a980f4cde2,"July 29, 2017","Anaheim, California, USA"
UFC 214: Cormier vs. Jones 2,http://www.fightmetric.com/fight-details/3d95b4f94ccffa96,"July 29, 2017","Anaheim, California, USA"
UFC 214: Cormier vs. Jones 2,http://www.fightmetric.com/fight-details/e80a8338d86e730b,"July 29, 2017","Anaheim, California, USA"
UFC 214: Cormier vs. Jones 2,http://www.fightmetric.com/fight-details/4f4806952ba2a72c,"July 29, 2017","Anaheim, California, USA"
UFC 214: Cormier vs. Jones 2,http://www.fightmetric.com/fight-details/3636e085c098dbda,"July 29, 2017","Anaheim, California, USA"
UFC Fight Night: Weidman vs. Gastelum,http://www.fightmetric.com/fight-details/5be97c1fa222093d,"July 22, 2017","Uniondale, New York, USA"
UFC Fight Night: Weidman vs. Gastelum,http://www.fightmetric.com/fight-details/8028d5de087755dc,"July 22, 2017","Uniondale, New York, USA"
UFC Fight Night: Weidman vs. Gastelum,http://www.fightmetric.com/fight-details/76d6789779d3721c,"July 22, 2017","Uniondale, New York, USA"
UFC Fight Night: Weidman vs. Gastelum,http://www.fightmetric.com/fight-details/7c23770c639dcd22,"July 22, 2017","Uniondale, New York, USA"
UFC Fight Night: Weidman vs. Gastelum,http://www.fightmetric.com/fight-details/657fd7ab7bdf9f15,"July 22, 2017","Uniondale, New York, USA"
UFC Fight Night: Weidman vs. Gastelum,http://www.fightmetric.com/fight-details/7e2bc09d866b3bd7,"July 22, 2017","Uniondale, New York, USA"
UFC Fight Night: Weidman vs. Gastelum,http://www.fightmetric.com/fight-details/d0e5487f55c57ad2,"July 22, 2017","Uniondale, New York, USA"
UFC Fight Night: Weidman vs. Gastelum,http://www.fightmetric.com/fight-details/4f07c6724682cd00,"July 22, 2017","Uniondale, New York, USA"
UFC Fight Night: Weidman vs. Gastelum,http://www.fightmetric.com/fight-details/bcf842992f9accdc,"July 22, 2017","Uniondale, New York, USA"
UFC Fight Night: Weidman vs. Gastelum,http://www.fightmetric.com/fight-details/573908b71b361312,"July 22, 2017","Uniondale, New York, USA"
UFC Fight Night: Weidman vs. Gastelum,http://www.fightmetric.com/fight-details/d83ae4a2e117b775,"July 22, 2017","Uniondale, New York, USA"
UFC Fight Night: Weidman vs. Gastelum,http://www.fightmetric.com/fight-details/9f114a219523bf7d,"July 22, 2017","Uniondale, New York, USA"
UFC Fight Night: Weidman vs. Gastelum,http://www.fightmetric.com/fight-details/b2297232b9310ba5,"July 22, 2017","Uniondale, New York, USA"
UFC Fight Night: Nelson vs. Ponzinibbio,http://www.fightmetric.com/fight-details/8417a20d56fe6776,"July 16, 2017","Glasgow, Scotland, United Kingdom"
UFC Fight Night: Nelson vs. Ponzinibbio,http://www.fightmetric.com/fight-details/b7f6d05d3afbb266,"July 16, 2017","Glasgow, Scotland, United Kingdom"
UFC Fight Night: Nelson vs. Ponzinibbio,http://www.fightmetric.com/fight-details/c62a90c19af6a0e2,"July 16, 2017","Glasgow, Scotland, United Kingdom"
UFC Fight Night: Nelson vs. Ponzinibbio,http://www.fightmetric.com/fight-details/86892d114b204bf3,"July 16, 2017","Glasgow, Scotland, United Kingdom"
UFC Fight Night: Nelson vs. Ponzinibbio,http://www.fightmetric.com/fight-details/0f8b2f7299b5e114,"July 16, 2017","Glasgow, Scotland, United Kingdom"
UFC Fight Night: Nelson vs. Ponzinibbio,http://www.fightmetric.com/fight-details/a77950d6a0a451f4,"July 16, 2017","Glasgow, Scotland, United Kingdom"
UFC Fight Night: Nelson vs. Ponzinibbio,http://www.fightmetric.com/fight-details/1ccde17f48fb709e,"July 16, 2017","Glasgow, Scotland, United Kingdom"
UFC Fight Night: Nelson vs. Ponzinibbio,http://www.fightmetric.com/fight-details/8fd14eb227688467,"July 16, 2017","Glasgow, Scotland, United Kingdom"
